"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"2104","Twenty One","24","I deserved this. I had to pay for the second mistake of my life.","14","2","7","{""PRON"": 3, ""VERB"": 3, ""DET"": 2, ""PRT"": 1, ""ADP"": 2, ""ADJ"": 1, ""NOUN"": 2}"
"2105","Twenty One","25","'What  the  hell  are  you  doing?'  Omi  said  even  though  he  understood  the situation well.","16","2","6","{""ADP"": 2, ""DET"": 2, ""NOUN"": 3, ""VERB"": 4, ""PRON"": 2, ""."": 1, ""ADV"": 2}"
"2106","Twenty One","26","'Nothing,  selfish  bastard.  He  is  a  snake.  He'll  sell  us  if  he  could,  Fucking businessman,' Ish said and kicked me in the shins.","28","3","8","{""VERB"": 8, ""."": 4, ""ADJ"": 1, ""NOUN"": 5, ""PRON"": 5, ""DET"": 2, ""ADP"": 2, ""CONJ"": 1}"
"2107","Twenty One","27","'Hey Ish, you want to get killed?' Omi said.","11","2","2","{""NUM"": 1, ""NOUN"": 2, ""."": 1, ""PRON"": 1, ""VERB"": 4, ""PRT"": 2}"
"2108","Twenty One","28","'Fuck you Mama, come in if you have the guts,' Ish shouted and walked up to the door.","21","1","10","{""ADP"": 3, ""PRON"": 2, ""NOUN"": 4, ""."": 3, ""VERB"": 4, ""DET"": 2, ""CONJ"": 1, ""ADV"": 1, ""PRT"": 1}"
"2109","Twenty One","29","Omi lent me a hand. I stood up and leaned on him. I wondered if my intestines had burst.","19","3","9","{""NOUN"": 4, ""VERB"": 5, ""PRON"": 5, ""DET"": 1, ""ADV"": 1, ""CONJ"": 1, ""ADP"": 2}"
"2110","Twenty One","30","'I told you. Protocol,' Omi said.","9","2","1","{""PRT"": 1, ""PRON"": 2, ""VERB"": 2, ""NOUN"": 2, ""."": 2}"
"2111","Twenty One","31","'I  didn't  do  anything  wrong,'  I  said.  I  don't  know  why  I  said  that.  I  had unprotected sex with a barely legal student and my best friend's sister. It must be up there in the top ten morally wrong things one could possibly do.","50","4","16","{""PRT"": 3, ""PRON"": 7, ""VERB"": 12, ""ADV"": 6, ""NOUN"": 7, ""ADJ"": 6, ""."": 2, ""ADP"": 3, ""DET"": 2, ""CONJ"": 1, ""NUM"": 1}"
"2112","Twenty One","32","Mama's  patience  ran  out  after  five  minutes.  He  ordered  his  minions  to  break the door. They pressed their trishuls against the door, but kept their distance.","28","3","10","{""NOUN"": 8, ""PRT"": 3, ""VERB"": 5, ""ADP"": 2, ""NUM"": 1, ""PRON"": 5, ""DET"": 2, ""."": 1, ""CONJ"": 1}"
"2113","Twenty One","33","'Right now, aim is to survive, not to settle scores,' Omi said.","16","1","5","{""VERB"": 5, ""ADV"": 2, ""."": 4, ""NOUN"": 3, ""PRT"": 2}"
"2114","Twenty One","34","Omi handed Ish the bat again. I held my wicket tight. We monitored the door. A few more jabs and it would open.","23","4","8","{""NOUN"": 7, ""VERB"": 5, ""DET"": 2, ""ADV"": 1, ""PRON"": 4, ""ADP"": 1, ""ADJ"": 2, ""CONJ"": 1}"
"2115","Twenty One","35","'I'll let them in anyway,' Omi said and released the bolt.","15","1","4","{""PRT"": 1, ""PRON"": 2, ""VERB"": 4, ""ADP"": 1, ""ADV"": 1, ""."": 2, ""NOUN"": 2, ""CONJ"": 1, ""DET"": 1}"
"2116","Twenty One","36","'You  want  to  kill  me?  Mama,  go  on,  kill  me. Why  wait,'  Omi  said  and  opened the door.","22","3","6","{""ADV"": 2, ""VERB"": 6, ""PRT"": 1, ""PRON"": 2, ""NOUN"": 4, ""."": 4, ""ADP"": 1, ""CONJ"": 1, ""DET"": 1}"
"2117","Twenty One","37","'Move aside Omi. Just tell me, where is the boy,' Mama said.","15","2","4","{""VERB"": 4, ""ADV"": 2, ""NOUN"": 4, ""PRON"": 1, ""."": 3, ""DET"": 1}"
"2118","Twenty One","38","'You won't get any boy here,' Ish growled.","11","1","2","{""NOUN"": 3, ""VERB"": 3, ""ADV"": 2, ""DET"": 1, ""."": 2}"
"2119","Twenty One","39","Mama's  five  men  held  up  their  trishuls.  We  lifted  our  cricket  weapons.  One man attacked Ish. Ish blocked him with his bat. Ish struck the bat on the man's arm, leg, thigh and groin. The man fell on the floor.","44","6","12","{""NOUN"": 16, ""PRT"": 3, ""NUM"": 2, ""VERB"": 7, ""PRON"": 5, ""ADP"": 3, ""DET"": 4, ""."": 2, ""ADJ"": 1, ""CONJ"": 1}"
"2120","Twenty One","40","My  hands  shivered  as  I  tackled  another  fat  man.  My  wicket  got  stuck  in  his trishul's  blades.  Our  conjoined  weapons  hurled  in  the  air  as  we  tried  to  extract them  apart.  He  kicked  me  in  my  right  knee  and  I  lost  my  balance.  He  came forward and pinned me to the wall.","53","5","18","{""PRON"": 14, ""NOUN"": 10, ""VERB"": 11, ""ADP"": 5, ""DET"": 3, ""ADJ"": 3, ""PRT"": 3, ""ADV"": 2, ""CONJ"": 2}"
"2121","Twenty One","41","The  third  man  hit  Ish  on  the  neck  with  the  blunt  end  of  the  trishul.  Ish  fell forward. The man took Ish captive and pushed him against the wall.","29","3","10","{""DET"": 6, ""ADJ"": 3, ""NOUN"": 9, ""VERB"": 4, ""ADP"": 4, ""ADV"": 1, ""CONJ"": 1, ""PRON"": 1}"
"2122","Twenty One","42","Omi had crushed the toes of the fourth man with the bat. The man winced as he fell on the floor. Omi kicked his stomach but the fifth man punched hard  on Omi's back. The man grabbed Omi from behind.","41","4","15","{""NOUN"": 12, ""VERB"": 7, ""DET"": 7, ""ADP"": 7, ""ADJ"": 2, ""PRON"": 2, ""CONJ"": 1, ""ADV"": 1, ""PRT"": 2}"
"2123","Twenty One","43","'Buffalo, you can't get free now,' the man said.","13","1","3","{""NUM"": 1, ""."": 3, ""PRON"": 1, ""VERB"": 3, ""ADV"": 2, ""ADJ"": 1, ""DET"": 1, ""NOUN"": 1}"
"2124","Twenty One","44","'Tch, tch. Stupid bastards. Like playing with fire eh?' Mama said as he sat on the  branch  manager's  table.  The  three  of  us  were  pinned  to  the  wall.  The  three remaining able men had blocked our bodies with their trishuls.","43","6","13","{""NUM"": 3, ""."": 2, ""NOUN"": 13, ""ADP"": 6, ""VERB"": 8, ""PRON"": 4, ""DET"": 4, ""PRT"": 2, ""ADJ"": 1}"
"2125","Twenty One","45","Mama sat on the branch manager's table and looked at us.","12","1","4","{""NOUN"": 4, ""VERB"": 2, ""ADP"": 2, ""DET"": 1, ""PRT"": 1, ""CONJ"": 1, ""PRON"": 1}"
"2126","Twenty One","46","'I want blood. Give me the boy, or it will be yours,' Mama said. He took out his hip flask and had a big sip of whisky.","31","3","13","{""PRT"": 2, ""PRON"": 5, ""VERB"": 7, ""NOUN"": 7, ""DET"": 2, ""."": 3, ""CONJ"": 2, ""ADV"": 1, ""ADJ"": 1, ""ADP"": 1}"
"2127","Twenty One","47","'There is no boy here,' Ish said, 'as you can see.' 'You  are  not  to  be  trusted,  as  I  have  seen,'  Mama  said.  He  threw  the  empty flask at Ish. It hit him in the chest.","43","4","16","{""DET"": 4, ""VERB"": 12, ""NOUN"": 7, ""ADV"": 2, ""."": 6, ""ADP"": 4, ""PRON"": 5, ""PRT"": 2, ""ADJ"": 1}"
"2128","Twenty One","48","Two injured men lay on the floor. Mama kicked them.","10","2","3","{""NUM"": 1, ""ADJ"": 1, ""NOUN"": 3, ""VERB"": 2, ""ADP"": 1, ""DET"": 1, ""PRON"": 1}"
"2129","Twenty One","49","'Go search,' Mama said.","6","1","0","{""PRT"": 1, ""NOUN"": 2, ""."": 2, ""VERB"": 1}"
"2130","Twenty One","50","The men hobbled and left the room.","7","1","2","{""DET"": 2, ""NOUN"": 2, ""VERB"": 2, ""CONJ"": 1}"
"2131","Twenty One","51","'Nobody here,' they screamed as they traversed the various rooms of the bank.","15","1","7","{""NOUN"": 3, ""ADV"": 1, ""."": 2, ""PRON"": 2, ""VERB"": 2, ""ADP"": 2, ""DET"": 2, ""ADJ"": 1}"
"2132","Twenty One","52","Their voice had pain. Something told me they'd had enough.","11","2","4","{""PRON"": 3, ""NOUN"": 3, ""VERB"": 4, ""ADV"": 1}"
"2133","Twenty One","53","Mama went close to Ish. He pulled Ish's hair hard. 'Tell me you bastard,' Mama said. 'He is not here,' Ish said.","27","4","6","{""NOUN"": 6, ""VERB"": 5, ""ADV"": 5, ""PRT"": 3, ""PRON"": 3, ""."": 5}"
"2134","Twenty One","54","'I will...,' Mama said as a phone ring interrupted him.","14","1","4","{""."": 4, ""PRON"": 2, ""VERB"": 3, ""NOUN"": 3, ""ADP"": 1, ""DET"": 1}"
"2135","Twenty One","55","The  phone  didn't  belong  to  me  or  Omi.  The  ring  didn't come  from  Mama  and his men either.","20","2","8","{""DET"": 2, ""NOUN"": 4, ""VERB"": 5, ""ADV"": 2, ""PRT"": 1, ""PRON"": 2, ""CONJ"": 3, ""ADP"": 1}"
"2136","Twenty One","56","Mama  followed  the  sound.  The  sound  came  from  the  manager's  table.  Mama went  to  the  wall  behind  the  manager's  table.  It  had  the  vault.  The  sound  came from within the vault.","33","5","10","{""NOUN"": 11, ""VERB"": 5, ""DET"": 8, ""ADP"": 4, ""PRT"": 3, ""ADJ"": 1, ""PRON"": 1}"
"2137","Twenty One","57","'Open this,' Mama said as he pointed to the wheel shaped lock of the vault.","17","1","7","{""VERB"": 4, ""DET"": 3, ""."": 2, ""NOUN"": 4, ""ADP"": 2, ""PRON"": 1, ""PRT"": 1}"
"2138","Twenty One","58","We  kept  quiet.  Ish's  phone  rang  again.  I  guessed  Vidya  had  called  to  explain things to her brother.","19","3","5","{""PRON"": 3, ""VERB"": 5, ""ADJ"": 1, ""NOUN"": 6, ""PRT"": 3, ""ADV"": 1}"
"2139","Twenty One","59","'I said open this,' Mama said.","9","1","1","{""PRT"": 1, ""PRON"": 1, ""VERB"": 2, ""ADJ"": 1, ""DET"": 1, ""."": 2, ""NOUN"": 1}"
"2140","Twenty One","60","'This is the bank's vault. We don't have the keys,' I said. I wanted to do my part to help Ish. I wanted to do anything to make me less of a creep.","37","4","15","{""NOUN"": 8, ""VERB"": 10, ""DET"": 3, ""PRT"": 5, ""PRON"": 6, ""ADV"": 1, ""."": 2, ""ADJ"": 1, ""ADP"": 1}"
"2141","Twenty One","61","'Oh yes. The smart boy has spoken. No keys,' Mama said.","13","3","1","{""NUM"": 1, ""VERB"": 4, ""DET"": 1, ""ADJ"": 1, ""NOUN"": 4, ""."": 2}"
"2142","Twenty One","62","My head turned to Ish. Ish looked away from me.","10","2","3","{""PRON"": 2, ""NOUN"": 3, ""VERB"": 2, ""PRT"": 1, ""ADV"": 1, ""ADP"": 1}"
"2143","Twenty One","63","Mama grabbed my chin and turned my face to him.","10","1","5","{""NOUN"": 3, ""VERB"": 2, ""PRON"": 3, ""CONJ"": 1, ""PRT"": 1}"
"2144","Twenty One","64","'So  we  are  idiots  isn't  it?  You  don't  have  the  keys,  but  how  did  the  fucking phone end up inside? Search them.' Mama's minions began the most violent search possible. The man searching me ripped open my shirt pocket. He slapped me once and asked me to turn around.","54","6","22","{""ADP"": 2, ""PRON"": 9, ""VERB"": 11, ""NOUN"": 12, ""ADV"": 5, ""DET"": 4, ""."": 2, ""CONJ"": 2, ""PRT"": 4, ""ADJ"": 3}"
"2145","Twenty One","65","His nails poked me as he frisked me from top to bottom. I told him I didn't have the  keys  more  than  ten  times,  but  he  wouldn't  listen.  He  searched  my  pant pockets  and  grabbed  my  groin  twice  to  check.  Whenever  I  tried  to  squirm,  he jabbed me with his fist.","55","4","23","{""PRON"": 15, ""NOUN"": 8, ""VERB"": 14, ""ADP"": 4, ""PRT"": 3, ""ADV"": 3, ""DET"": 1, ""ADJ"": 3, ""."": 2, ""CONJ"": 2}"
"2146","Twenty One","66","The other men did the same to Omi and Ish. The man searching him ripped off Ish's shirt. He took a trishul and poked him in his rib cage.","30","3","13","{""DET"": 4, ""ADJ"": 2, ""NOUN"": 9, ""VERB"": 5, ""PRT"": 3, ""CONJ"": 2, ""PRON"": 4, ""ADP"": 1}"
"2147","Twenty One","67","'This bastard doesn't have it,' my man said and gave up his grip. He pinned me to the wall again.","23","2","11","{""X"": 1, ""NOUN"": 4, ""VERB"": 5, ""ADV"": 2, ""PRON"": 5, ""."": 2, ""CONJ"": 1, ""PRT"": 2, ""DET"": 1}"
"2148","Twenty One","68","'This one neither,' the man with Omi said.","10","1","2","{""NUM"": 2, ""NOUN"": 3, ""."": 2, ""DET"": 1, ""ADP"": 1, ""VERB"": 1}"
"2149","Twenty One","69","'This one needs to be tamed,' the man with Ish said as he tried to take off Ish's pants. Ish kicked hard in the man's shins. I noticed the blood on Ish's chest.","38","3","12","{""NUM"": 2, ""VERB"": 8, ""PRT"": 6, ""."": 2, ""DET"": 3, ""NOUN"": 10, ""ADP"": 4, ""PRON"": 2, ""ADV"": 1}"
"2150","Twenty One","70","'Should I help,' Mama said from the branch manager's desk.","13","1","2","{""VERB"": 3, ""PRON"": 1, ""."": 2, ""NOUN"": 4, ""ADP"": 1, ""DET"": 1, ""PRT"": 1}"
"2151","Twenty One","71","'Don't worry I'll tackle him,' the man said even as Ish bit his arm.","18","1","4","{""VERB"": 5, ""ADV"": 2, ""PRON"": 3, ""."": 2, ""DET"": 1, ""NOUN"": 3, ""ADP"": 2}"
"2152","Twenty One","72","Mama  came  to  Ish.  He  jabbed  the  blunt  end  of  the  trishul  again  at  his  chest wound.","17","2","7","{""NOUN"": 6, ""VERB"": 2, ""PRT"": 1, ""PRON"": 2, ""DET"": 2, ""ADJ"": 1, ""ADP"": 2, ""ADV"": 1}"
"2153","Twenty One","73","Ish screamed in pain and fell. The man searching Ish slapped him a few times.","15","2","5","{""NOUN"": 5, ""VERB"": 4, ""ADP"": 1, ""CONJ"": 1, ""DET"": 2, ""PRON"": 1, ""ADJ"": 1}"
"2154","Twenty One","74","Ish  clenched  his  teeth  and  continued  to  kick.  Mama  reached  into  Ish's  pockets.","14","2","4","{""NOUN"": 5, ""VERB"": 4, ""PRON"": 1, ""CONJ"": 1, ""PRT"": 2, ""ADP"": 1}"
"2155","Twenty One","75","He  felt  something.  Ish  had  worn  practice  shorts  underneath  his  pants.  Mama took his hands out of the pants and slid it again into Ish's shorts. He pulled out a bangle sized keyring. It had two six inch long keys.","41","5","13","{""PRON"": 6, ""VERB"": 9, ""NOUN"": 13, ""ADP"": 4, ""DET"": 2, ""CONJ"": 1, ""ADV"": 2, ""PRT"": 2, ""NUM"": 2}"
"2156","Twenty One","76","Ish  lay  on  the  floor  taking  heavy  breaths  from  his  mouth.  His  eyes  looked defiant even as his body refused to cooperate.","22","2","7","{""NOUN"": 7, ""ADP"": 3, ""DET"": 1, ""VERB"": 4, ""ADJ"": 2, ""PRON"": 3, ""ADV"": 1, ""PRT"": 1}"
"2157","Twenty One","77","Mama twirled the key ring in his hand.","8","1","3","{""NOUN"": 3, ""VERB"": 1, ""DET"": 1, ""ADJ"": 1, ""ADP"": 1, ""PRON"": 1}"
"2158","Twenty One","78","'Never  looted  a  bank  before,'  Mama  said,  'and  what  a  prize  today.  Father  and son, I'll root out the clan.' Mama took a minute to figure out the vault keys.","36","3","11","{""ADV"": 1, ""VERB"": 7, ""DET"": 5, ""NOUN"": 11, ""ADP"": 1, ""."": 4, ""PRON"": 2, ""CONJ"": 1, ""PRT"": 4}"
"2159","Twenty One","79","'Don't Mama, he is a child. For my sake,' Omi said.","15","2","4","{""VERB"": 3, ""ADV"": 1, ""NOUN"": 4, ""."": 3, ""PRON"": 2, ""DET"": 1, ""ADP"": 1}"
"2160","Twenty One","80","Mama paused and turned to look at us.","8","1","3","{""NOUN"": 1, ""VERB"": 3, ""CONJ"": 1, ""PRT"": 1, ""ADP"": 1, ""PRON"": 1}"
"2161","Twenty One","81","'My Dhiraj was also a child,' Mama said and went to the vault.","15","1","5","{""NUM"": 1, ""NOUN"": 4, ""VERB"": 3, ""ADV"": 1, ""DET"": 2, ""."": 2, ""CONJ"": 1, ""PRT"": 1}"
"2162","Twenty One","82","Ish sat on the floor. The man guarding him suffocated Ish with the trishul rod around his neck.","18","2","6","{""NOUN"": 7, ""VERB"": 2, ""ADP"": 3, ""DET"": 3, ""PRON"": 2, ""ADJ"": 1}"
"2163","Twenty One","83","'Don't touch him. He is national treasure,' Ish growled. The man suffocated him further.","17","3","4","{""VERB"": 5, ""ADV"": 2, ""PRON"": 3, ""ADJ"": 1, ""NOUN"": 3, ""."": 2, ""DET"": 1}"
"2164","Twenty One","84","'I'll pay you, whatever you want,' I said.","13","1","2","{""PRT"": 1, ""PRON"": 4, ""VERB"": 4, ""."": 3, ""DET"": 1}"
"2165","Twenty One","85","'Businessman, go sell your mother,' Mama said to me as he turned the wheel of the vault.","20","1","8","{""NOUN"": 5, ""."": 3, ""VERB"": 4, ""PRON"": 3, ""PRT"": 1, ""ADP"": 2, ""DET"": 2}"
"2166","Twenty One","86","'There is the bastard,' Mama said.","8","1","2","{""DET"": 2, ""VERB"": 2, ""NOUN"": 2, ""."": 2}"
"2167","Twenty One","87","Mama yanked out Ali from the vault. His thin body in the white kurta pajama shivered  intensely.  His  smudged  face  told  me  he  had  been  crying  inside.  Mama grabbed Ali by the neck and raised him high in the air.","40","4","15","{""NOUN"": 11, ""VERB"": 9, ""PRT"": 1, ""ADP"": 4, ""DET"": 4, ""PRON"": 5, ""ADJ"": 4, ""ADV"": 1, ""CONJ"": 1}"
"2168","Twenty One","88","'Ish bhaiya,' Ali said as his legs dangled.","10","1","2","{""NUM"": 1, ""NOUN"": 3, ""."": 2, ""VERB"": 2, ""ADP"": 1, ""PRON"": 1}"
"2169","Twenty One","89","'The  more  innocent  you  look  now,  the  bigger  devil  you  will  be  in  ten  years,' Mama said and brought Ali down. He released his grip on Ali's neck.","32","2","12","{""NUM"": 1, ""ADJ"": 3, ""NOUN"": 8, ""PRON"": 4, ""VERB"": 6, ""ADV"": 1, ""."": 3, ""DET"": 1, ""ADP"": 3, ""CONJ"": 1, ""PRT"": 1}"
"2170","Twenty One","90","'Stop it Mama,' Omi said as Mama lifted his trishul.","12","1","3","{""VERB"": 3, ""PRON"": 2, ""NOUN"": 4, ""."": 2, ""ADP"": 1}"
"2171","Twenty One","91","'You won't understand,' Mama said and folded his hands to pray.","14","1","3","{""NOUN"": 3, ""VERB"": 5, ""ADV"": 1, ""."": 2, ""CONJ"": 1, ""PRON"": 1, ""PRT"": 1}"
"2172","Twenty One","92","'Run Ali, run,' Ish screamed.","8","1","0","{""NUM"": 1, ""NOUN"": 3, ""."": 3, ""VERB"": 1}"
"2173","Twenty One","93","Ali  tried  to  run  out  of  the  room.  Mama  opened  his  eyes.  He  ran  after  Ali  and jabbed the trishul into Ali's ankle.","24","3","9","{""NOUN"": 8, ""VERB"": 5, ""PRT"": 2, ""ADV"": 1, ""ADP"": 3, ""DET"": 2, ""PRON"": 2, ""CONJ"": 1}"
"2174","Twenty One","94","Ali screamed in pain and fell down.","7","1","3","{""NOUN"": 2, ""VERB"": 2, ""ADP"": 1, ""CONJ"": 1, ""ADV"": 1}"
"2175","Twenty One","95","Mama kneeled down on the floor next to Ali.","9","1","4","{""NOUN"": 3, ""VERB"": 1, ""ADV"": 1, ""ADP"": 2, ""DET"": 1, ""PRT"": 1}"
"2176","Twenty One","96","'Don't you try and escape son of a bitch. I can kill you in one clean shot. If you try to be clever I will cut each finger of yours one at a time. Understand?' Mama roared. His eyes were red, the white barely visible.","48","6","18","{""VERB"": 11, ""ADV"": 2, ""PRON"": 6, ""CONJ"": 1, ""NOUN"": 10, ""ADP"": 5, ""DET"": 4, ""NUM"": 2, ""PRT"": 2, ""ADJ"": 4, ""."": 1}"
"2177","Twenty One","97","Mama  closed  his  eyes  again  and  mumbled  silent  chants.  He took  his  folded hands  to  his  forehead  and  heart  and  tapped  it  thrice.  He  opened  his  eyes  and lifted the trishul. Ali stood up and tried to limp away.","39","4","15","{""NOUN"": 10, ""VERB"": 9, ""PRON"": 7, ""ADV"": 1, ""CONJ"": 5, ""ADJ"": 2, ""PRT"": 4, ""DET"": 1}"
"2178","Twenty One","98","Mama lifted the trishul high to strike.","7","1","2","{""NOUN"": 2, ""VERB"": 2, ""DET"": 1, ""ADJ"": 1, ""PRT"": 1}"
"2179","Twenty One","99","'Mama no,' Omi  screamed in his  loudest voice. Omi pushed the  man blocking him. He ran between Mama and Ali. Mama screamed a chant and struck.","28","4","9","{""NUM"": 1, ""DET"": 3, ""."": 2, ""NOUN"": 9, ""VERB"": 5, ""ADP"": 2, ""PRON"": 3, ""ADJ"": 1, ""CONJ"": 2}"
"2180","Twenty One","100","'Stop Mama,' Omi said.","6","1","0","{""ADJ"": 1, ""NOUN"": 2, ""."": 2, ""VERB"": 1}"
"2181","Twenty One","101","Even if Mama wanted to stop, he couldn't. The strike already had momentum.","15","2","4","{""ADV"": 3, ""ADP"": 1, ""NOUN"": 3, ""VERB"": 4, ""PRT"": 1, ""."": 1, ""PRON"": 1, ""DET"": 1}"
"2182","Twenty One","102","The trishul entered Omi's stomach with a dull thud.","10","1","2","{""DET"": 2, ""NOUN"": 4, ""VERB"": 1, ""PRT"": 1, ""ADP"": 1, ""ADJ"": 1}"
"2183","Twenty One","103","'Oh ... oh,' Omi said as he absorbed what happened first and felt the pain later.","18","1","5","{""NOUN"": 3, ""."": 3, ""ADV"": 2, ""VERB"": 4, ""ADP"": 1, ""PRON"": 2, ""ADJ"": 1, ""CONJ"": 1, ""DET"": 1}"
"2184","Twenty One","104","Within  seconds,  a  pool  of  blood  covered  the  floor.  Mama  and  his  men  looked  at each other, trying to make sense of what had occurred.","27","2","12","{""ADP"": 4, ""NOUN"": 7, ""."": 2, ""DET"": 3, ""VERB"": 6, ""CONJ"": 1, ""PRON"": 2, ""ADJ"": 1, ""PRT"": 1}"
"2185","Twenty One","105","'Mama,  don't  do  it,'  Omi  said,  still  unaware  that  the  trishul  blades  had penetrated five inches inside him.","23","1","7","{""NOUN"": 5, ""."": 4, ""VERB"": 5, ""ADV"": 2, ""PRON"": 2, ""ADJ"": 1, ""ADP"": 2, ""DET"": 1, ""NUM"": 1}"
"2186","Twenty One","106","'Omi, my son,' Mama said.","8","1","1","{""NOUN"": 3, ""."": 3, ""PRON"": 1, ""VERB"": 1}"
"2187","Twenty One","107","Omi writhed in pain as Mama yanked the trishul out.","10","1","4","{""NOUN"": 4, ""VERB"": 2, ""ADP"": 2, ""DET"": 1, ""PRT"": 1}"
"2188","Twenty One","108","I had never seen so much blood. I wanted to puke. My mind went numb. The man who pinned Omi earlier now held Ali tight and came close to Mama. Mama had Omi in his lap.","36","5","10","{""PRON"": 4, ""VERB"": 9, ""ADV"": 5, ""ADJ"": 2, ""NOUN"": 10, ""PRT"": 2, ""ADP"": 2, ""DET"": 1, ""CONJ"": 1}"
"2189","Twenty One","109","'Look you animal, what did you do,' Ish screamed. Ish had seen the scene from behind. He never saw the trishul inside him. Only I had seen, and for years later that image would continue to haunt me.","42","4","16","{""NOUN"": 6, ""PRON"": 7, ""VERB"": 12, ""."": 4, ""DET"": 2, ""ADP"": 5, ""ADV"": 3, ""ADJ"": 1, ""CONJ"": 1, ""PRT"": 1}"
"2190","Twenty One","110","'Call an ambulance you dogs,' Ish screamed. Ish's captor held him super-tight.","15","2","3","{""DET"": 2, ""NOUN"": 4, ""PRON"": 2, ""VERB"": 3, ""."": 2, ""PRT"": 1, ""ADJ"": 1}"
"2191","Twenty One","111","Ali put his free hand on Omi's chest. It moved up and down in an asymmetrical manner.","18","2","7","{""NOUN"": 5, ""VERB"": 2, ""PRON"": 2, ""ADJ"": 2, ""ADP"": 2, ""PRT"": 1, ""ADV"": 2, ""CONJ"": 1, ""DET"": 1}"
"2192","Twenty One","112","Omi held Ali's hand and looked at me. His eyes looked weak. Tears ran across my cheeks. I had no energy to fight the man holding me. I had no energy left to do anything.","36","5","13","{""NOUN"": 10, ""VERB"": 10, ""PRT"": 3, ""CONJ"": 1, ""ADP"": 2, ""PRON"": 6, ""ADJ"": 1, ""DET"": 3}"
"2193","Twenty One","113","'Leave us you bastards,' I cried like a baby.","11","1","2","{""VERB"": 2, ""PRON"": 3, ""NOUN"": 2, ""."": 2, ""ADP"": 1, ""DET"": 1}"
"2194","Twenty One","114","'You'll be fine my son, I didn't mean to,' Mama said as he brushed Omi's hair.","22","1","6","{""PRT"": 3, ""VERB"": 6, ""ADJ"": 1, ""PRON"": 3, ""NOUN"": 4, ""."": 3, ""ADV"": 1, ""ADP"": 1}"
"2195","Twenty One","115","'He is a good boy Mama, he didn't kill your son. All Muslims are not bad,' Omi said, his voice breaking as he gulped for breath.","31","2","11","{""NOUN"": 9, ""VERB"": 6, ""DET"": 2, ""ADJ"": 2, ""."": 4, ""PRON"": 4, ""ADV"": 2, ""ADP"": 2}"
"2196","Twenty One","116","'Love  you  friend,'  Omi  said  as  he  looked  at  me,  a  line  that  could  be  termed cheesy if it wasn't his last. His eyes closed.","29","2","12","{""ADP"": 4, ""PRON"": 6, ""VERB"": 8, ""."": 3, ""NOUN"": 4, ""DET"": 2, ""ADV"": 1, ""ADJ"": 1}"
"2197","Twenty One","117","'Omi, my son, my son,' Mama tried to shake him back to life.","17","1","5","{""NOUN"": 5, ""."": 4, ""PRON"": 3, ""VERB"": 2, ""PRT"": 2, ""ADV"": 1}"
"2198","Twenty One","118","'What?  What  happened?' Ish  said.  He  had  only  witnessed  the  drama  from behind.","14","4","4","{""DET"": 2, ""PRON"": 2, ""VERB"": 4, ""PRT"": 1, ""NOUN"": 2, ""ADV"": 1, ""ADP"": 2}"
"2199","Twenty One","119","Mama  put  his  head  on  Omi's  chest.  Ish  started  kicking  and  shoving  the  man holding him. The man jabbed Ish with his elbow. Ish gripped his trishul rod and pushed  back  hard  until  he  could  slip  out.  He  gave  the  man  a  kick  in  his  groin.","47","5","16","{""NOUN"": 14, ""VERB"": 11, ""PRON"": 7, ""ADP"": 4, ""PRT"": 2, ""ADJ"": 2, ""CONJ"": 2, ""DET"": 4, ""ADV"": 1}"
"2200","Twenty One","120","The man fell down as Ish kicked him again thrice in the same place. Ish pounded his head with his foot until the man became unconscious. Ish ran to Omi.","30","3","13","{""DET"": 3, ""NOUN"": 10, ""VERB"": 5, ""ADV"": 3, ""PRON"": 3, ""ADP"": 3, ""ADJ"": 2, ""PRT"": 1}"
"2201","Twenty One","121","Mama left Omi's body on the ground and stood up. Ish went over and touched Omi's face. He had never touched a dead body before, let alone his friend's. I saw Ish cry for the first time. He sniffed back hard but the tears wouldn't stop.","51","5","14","{""NOUN"": 13, ""VERB"": 12, ""PRT"": 4, ""ADP"": 4, ""DET"": 4, ""CONJ"": 3, ""PRON"": 4, ""ADV"": 3, ""ADJ"": 3, ""."": 1}"
"2202","Twenty One","122","'See  what  you  made  me  do  you  bastard,'  Mama  said,  'made  me  kill  another son. But I am not weak. I haven't cried yet, look.' Ish ignored Mama. He went through the same numbness I did a few moments ago. He touched Omi's body again and again.","54","6","18","{""VERB"": 14, ""PRON"": 10, ""."": 5, ""NOUN"": 9, ""DET"": 3, ""CONJ"": 2, ""ADV"": 5, ""ADJ"": 3, ""ADP"": 2, ""PRT"": 1}"
"2203","Twenty One","123","'Hindus  are  not  weak,  am  I  weak?'  Mama  said  as  he  turned  to  his  men.  The men looked nervous, as things had not gone as planned. The man who held Ali's arm looked at Mama, looking for guidance for the next step.","47","4","16","{""NOUN"": 11, ""VERB"": 11, ""ADV"": 3, ""ADJ"": 4, ""."": 4, ""PRON"": 4, ""ADP"": 5, ""PRT"": 2, ""DET"": 3}"
"2204","Twenty One","124","'Hold him back, next to this mother pimping businessman,' Mama said.","14","1","3","{""PRT"": 2, ""PRON"": 1, ""ADV"": 1, ""."": 3, ""ADJ"": 1, ""DET"": 1, ""NOUN"": 3, ""VERB"": 2}"
